,Ethnicity,Gender,Name,Veteran
0,White,F,Mrs. Vida Altenwerth,Yes
1,White,M,Hadassah Nader MD,Yes
2,Asian,M,Pansy Armstrong,No
3,White,F,Marques Purdy,Yes
4,Asian,M,Mr. Hosie Bechtelar DVM,No
5,Black,M,Dr. Wilber Grimes,Yes
6,Asian,M,Roland Mueller,No
7,Black,F,Bulah Raynor,Yes
8,Asian,F,Keanna Bogan,Yes
9,White,M,Duard Crooks,No
10,Black,M,Brittaney Jaskolski,No
11,Black,M,Ms. Keesha Nolan,No
12,White,M,Crista Streich,Yes
13,Asian,F,Robb Sporer,Yes
14,Black,F,Deward Lemke,No
15,Asian,F,Benita Sporer,Yes
16,Asian,F,Ms. Odette Murray,No
17,White,M,Dr. Cal Sanford,Yes
18,Asian,M,Iona Hoeger,No
19,Black,F,Mrs. Karon Boyle,No
