,Ethnicity,Gender,Name,Veteran
0,Asian,F,Primus Lueilwitz,Yes
1,Asian,M,Drusilla Goyette DVM,Yes
2,Black,M,Ms. Bennie Hammes,Yes
3,Black,F,Norine Lockman,Yes
4,Black,F,Miss Cornie Wuckert PhD,No
5,Black,M,Kristofer Sipes,Yes
6,White,M,Lovell Predovic DDS,No
7,White,F,Budd Schinner MD,No
8,Asian,M,Hali Wolf,No
9,White,F,Jeraldine Bins,No
10,White,F,Lavinia Durgan,Yes
11,Asian,F,Dr. Mandy Stoltenberg PhD,Yes
12,White,F,Lance McKenzie,No
13,Black,F,Hayden Stiedemann,No
14,Black,M,Flor Beier,Yes
15,Black,F,Esther Jenkins PhD,No
16,Asian,F,Yandel Bayer,No
17,Black,M,Miss Donie Moen,Yes
18,White,F,Connie Collier,Yes
19,White,F,Hermina Braun,Yes
20,White,F,Kim Kerluke,No
21,White,M,Huston Von DVM,No
22,Asian,M,Inez Skiles,Yes
23,Asian,M,Gayle Langosh,Yes
24,Black,M,Jailene Steuber,Yes
25,White,M,Ivan Borer,Yes
26,Black,M,Vickey Raynor,Yes
27,Black,F,Kylee Larson,No
28,Asian,M,Miss Rebekah Sanford,No
29,White,M,Marcos Bauch,Yes
30,White,M,Shiela Murray,Yes
31,Black,F,Ernie Heathcote,Yes
32,Asian,M,Mr. Fenton Keebler,No
33,Asian,F,Dr. Cecilia Tremblay MD,No
34,Asian,M,Lidie Baumbach,No
35,Black,F,Corbett Hudson,No
36,Black,M,Kamren Tillman,Yes
37,White,M,Seymour Hettinger DVM,Yes
38,Asian,M,Ms. Alysa Bernhard DVM,No
39,Black,F,Ms. Willene Ratke MD,No
40,Asian,F,Mr. Randle Ebert,No
41,White,M,Rocco Mueller,Yes
42,Asian,M,Santana Abernathy,No
43,Black,M,Mr. Ulysses Boyer Jr.,Yes
44,Asian,F,Codie Brakus,No
45,Black,M,Shelly Donnelly,Yes
46,White,M,Mr. Ceasar Purdy,No
47,Black,M,Erasmus Boehm,Yes
48,White,F,Marlin Mraz,Yes
49,White,F,Mikaela Douglas,Yes
50,White,F,Gearldine Bergstrom,No
51,White,F,Mr. Alford Leuschke,No
52,Black,M,Elyssa Hayes,Yes
53,White,F,Jonathon Pfannerstill,Yes
54,Asian,F,Alfred Boehm,Yes
55,Black,M,Dr. Albertus Tillman PhD,Yes
56,Asian,M,Brody Zboncak,Yes
57,White,M,Mrs. Lynette Bartell,Yes
58,White,M,Dr. Verlon Gutmann I,Yes
59,White,F,Dr. Demetrius Grady,Yes
60,White,F,Ulises Crona,Yes
61,White,F,Terrence Swaniawski DVM,No
62,Asian,F,Danna Daugherty,Yes
63,Black,M,Eldridge Medhurst,No
64,Asian,F,Dr. Devon Kessler DVM,No
65,Asian,M,Martine Hand MD,No
66,Black,M,Shawnee Langworth,Yes
67,Black,M,Tina McDermott,No
68,Asian,M,Seamus Walsh II,No
69,Asian,M,Cathi Kuvalis,Yes
70,White,F,Clement Hickle Jr.,No
71,Asian,F,Gregory Schumm Sr.,Yes
72,Black,M,Dr. Donaciano O'Hara,Yes
73,Asian,M,Hadley Monahan,Yes
74,Black,M,Bartholomew Towne,Yes
75,White,F,Yahaira Schmitt,Yes
76,Asian,F,Delmer O'Connell,Yes
77,White,F,Idella VonRueden,Yes
78,Black,M,Dr. Phyllis Towne,Yes
79,Asian,M,Edgardo Bruen,Yes
80,Asian,M,Mr. Eden Funk,Yes
81,Asian,F,Clemmie West,No
82,White,M,Miss Tonja Trantow MD,Yes
83,Asian,F,Marty Brekke PhD,No
84,Black,M,Grace Will,Yes
85,White,F,Dr. Collins Anderson III,No
86,Asian,M,Shelba Gislason,No
87,Black,F,Miss Kristine Graham DVM,Yes
88,Black,M,Glynn Murray,Yes
89,Asian,M,Brittney Kozey,No
90,Asian,M,Evander Langosh DDS,No
91,White,F,Ms. Ashley Braun,No
92,Asian,M,Adele Witting,Yes
93,Asian,M,Sidney Pacocha,No
94,Asian,M,Mrs. Nilda Lindgren,No
95,White,F,Mr. Zackary Hudson,Yes
96,Black,F,Calhoun Wiegand Jr.,Yes
97,White,M,Mrs. Dewey Lindgren MD,Yes
98,Black,F,Jaden Fritsch,No
99,White,F,Mr. Nile Schaden,No
